iter	MultiClass
521	0.3425841305
522	0.3420347436
523	0.3413414247
524	0.340724097
525	0.3402884504
526	0.3398547737
527	0.3395331595
528	0.3392011441
529	0.3386535304
530	0.3382305223
531	0.3376737277
532	0.3371225171
533	0.3369362434
534	0.3365014725
535	0.3360891793
536	0.3356541869
537	0.3350433665
538	0.3346645762
539	0.3343515817
540	0.3337724105
541	0.3332349581
542	0.3329444034
543	0.3324569119
544	0.3320450589
545	0.3316255289
546	0.3311247867
547	0.3304915012
548	0.3300330159
549	0.3297527839
550	0.3294572052
551	0.3291441001
552	0.3286801333
553	0.3281286859
554	0.3276323125
555	0.3273229197
556	0.3268964601
557	0.3266081381
558	0.3261707612
559	0.3257855958
560	0.3255471131
561	0.3253617731
562	0.3247635072
563	0.3241575513
564	0.3237471252
565	0.3234377777
566	0.3231667813
567	0.3225980256
568	0.3222678689
569	0.3219989971
570	0.3215058472
571	0.3209820378
572	0.3205072232
573	0.3201747213
574	0.3199368703
575	0.3193961419
576	0.3189606875
577	0.3184351013
578	0.3177121627
579	0.3173905468
580	0.3169383406
581	0.3164739052
582	0.3159023747
583	0.3153982111
584	0.3149419443
585	0.3143092535
586	0.3139084399
587	0.313732405
588	0.31328947
589	0.3127449591
590	0.3121682736
591	0.3116093691
592	0.3112389097
593	0.3107655488
594	0.3103938287
595	0.3101948275
596	0.3097730019
597	0.3093157331
598	0.3089159243
599	0.3082777832
600	0.3079504209
601	0.3074031641
602	0.3069426907
603	0.3064194288
604	0.3059097032
605	0.3055811421
606	0.3051592119
607	0.3046306844
608	0.3042554164
609	0.3038870596
610	0.3034145233
611	0.3032047289
612	0.3027844102
613	0.3025117848
614	0.3021162974
615	0.3017888186
616	0.3014735475
617	0.301146216
618	0.3008160873
619	0.3004503725
620	0.3001373979
621	0.2998003212
622	0.2994559806
623	0.2991599098
624	0.29866097
625	0.2981528566
626	0.2977401453
627	0.2973526987
628	0.2965883989
629	0.2961087484
630	0.2958969147
631	0.2955731365
632	0.2953994208
633	0.2949376128
634	0.2945191292
635	0.2939894804
636	0.293375872
637	0.2929827935
638	0.2925272308
639	0.2922913511
640	0.2918295039
641	0.2914662844
642	0.2909837263
643	0.290734271
644	0.2904109615
645	0.29008456
646	0.2898237411
647	0.2894084823
648	0.288999521
649	0.2887786459
650	0.2882977911
651	0.2880720692
652	0.2875848191
653	0.2872585012
654	0.2869345936
655	0.2865611116
656	0.2862178467
657	0.2859758078
658	0.2854324147
659	0.2850866999
660	0.2846244831
661	0.2841688633
662	0.2838061661
663	0.2834783969
664	0.283220497
665	0.2828300679
666	0.2824090189
667	0.2820152904
668	0.2817223791
669	0.2814242087
670	0.280885562
671	0.2803933914
672	0.2799575481
673	0.2797518135
674	0.27949161
675	0.279270871
676	0.2788503222
677	0.2785101751
678	0.2781018205
679	0.2777205927
680	0.2773135588
681	0.2767569406
682	0.2764591638
683	0.2760305937
684	0.2755604274
685	0.2751926837
686	0.2746876719
687	0.2741973948
688	0.2738821329
689	0.2735278294
690	0.2730039937
691	0.2727052021
692	0.2721928195
693	0.2715474451
694	0.271280277
695	0.2710030065
696	0.2704231718
697	0.2700932615
698	0.2698505345
699	0.2695521206
700	0.2691257903
701	0.2686704607
702	0.2682295928
703	0.2677478162
704	0.2674186495
705	0.2669746823
706	0.2665339797
707	0.2662378364
708	0.2658875153
709	0.2656541428
710	0.2652326696
711	0.2646215266
712	0.2644425861
713	0.2642126985
714	0.2638618497
715	0.2636289461
716	0.2632049208
717	0.2627941162
718	0.2624346976
719	0.2622606291
720	0.2618760429
721	0.2616414079
722	0.2613441142
82672
