iter	Passed	Remaining
398	196778	159790
399	197157	159204
400	197484	158578
401	197819	157960
402	198147	157337
403	198494	156731
404	198849	156133
405	199194	155528
406	199578	154954
407	199938	154364
408	200303	153778
409	200615	153152
410	200959	152552
411	201270	151930
412	201629	151343
413	201956	150735
414	202332	150164
415	202697	149586
416	203029	148985
417	203353	148380
418	203712	147801
419	204131	147266
420	204481	146682
421	204782	146065
422	205103	145463
423	205515	144927
424	205878	144357
425	206262	143802
426	206650	143251
427	206971	142655
428	207310	142072
429	207622	141472
430	208011	140926
431	208360	140354
432	208718	139788
433	209058	139212
434	209425	138654
435	209753	138071
436	210105	137505
437	210461	136943
438	210853	136406
439	211256	135876
440	211578	135294
441	211924	134730
442	212267	134164
443	212648	133623
444	213018	133076
445	213384	132528
446	213746	131977
447	214082	131412
448	214439	130860
449	214821	130325
450	215156	129761
451	215508	129209
452	215841	128646
453	216222	128114
454	216622	127592
455	216985	127050
456	217372	126522
457	217734	125981
458	218096	125440
459	218472	124909
460	218822	124363
461	219152	123806
462	219506	123264
463	219853	122720
464	220193	122172
465	220554	121636
466	220937	121113
467	221330	120596
468	221683	120058
469	221995	119499
470	222342	118960
471	222661	118406
472	223018	117874
473	223331	117319
474	223640	116763
475	224034	116253
476	224342	115698
477	224708	115175
478	225037	114632
479	225379	114098
480	225718	113563
481	226093	113046
482	226449	112521
483	226766	111977
484	227177	111481
485	227472	110927
486	227831	110407
487	228171	109877
488	228539	109362
489	228868	108829
490	229223	108309
491	229554	107778
492	229878	107245
493	230210	106716
494	230604	106217
495	230954	105699
496	231300	105178
497	231618	104647
498	231984	104137
499	232324	103616
500	232682	103104
501	233031	102589
502	233399	102083
503	233759	101574
504	234107	101060
505	234446	100543
506	234783	100026
507	235138	99517
508	235477	99002
509	235791	98477
510	236113	97956
511	236459	97447
512	236847	96955
513	237223	96458
514	237610	95966
515	237972	95465
516	238331	94963
517	238640	94442
518	239015	93948
519	239344	93436
520	239660	92920
521	240013	92418
522	240397	91930
523	240720	91418
524	241095	90927
525	241452	90430
526	241811	89933
527	242152	89431
528	242493	88929
529	242856	88436
530	243192	87934
531	243593	87455
532	243999	86979
533	244328	86475
534	244661	85974
535	245006	85478
536	245372	84989
537	245722	84495
538	246071	84002
539	246425	83510
540	246778	83019
541	247144	82533
542	247500	82044
543	247838	81549
544	248161	81050
545	248506	80559
546	248846	80067
547	249234	79591
548	249585	79103
549	249895	78603
550	250260	78121
551	250575	77624
552	250919	77136
553	251281	76654
554	251651	76175
555	251975	75683
556	252341	75204
557	252669	74714
558	253056	74242
559	253399	73757
560	253742	73273
561	254052	72780
562	254398	72297
563	254759	71820
564	255142	71349
565	255532	70880
566	255899	70406
567	256262	69930
568	256586	69445
569	256932	68966
570	257281	68488
571	257666	68020
572	257993	67537
573	258367	67067
574	258720	66592
575	259112	66127
576	259472	65655
577	259817	65179
578	260184	64709
579	260513	64230
580	260863	63756
581	261229	63287
582	261581	62815
583	261965	62351
584	262329	61882
585	262735	61424
586	263082	60952
587	263437	60483
588	263791	60013
589	264155	59546
590	264510	59078
591	264854	58608
592	265213	58141
593	265576	57675
594	265943	57211
595	266278	56740
596	266602	56267
597	266961	55802
598	267307	55335
599	267663	54871
600	267919	54386
601	268246	53916
602	268529	53438
603	268796	52958
604	269104	52486
605	269412	52015
606	269706	51541
607	269991	51067
608	270301	50598
609	270567	50121
610	270858	49649
611	271121	49174
612	271419	48704
613	271715	48236
614	271974	47761
615	272246	47289
616	272563	46826
617	272829	46354
618	273121	45887
619	273395	45418
620	273686	44953
621	273990	44490
622	274261	44022
623	274584	43563
624	274882	43101
625	275166	42637
626	275494	42181
627	275760	41715
628	276087	41259
629	276367	40797
630	276637	40333
631	276920	39873
632	277198	39412
633	277491	38953
634	277773	38494
635	278067	38037
636	278434	37590
637	278727	37134
638	279010	36677
639	279297	36221
640	279558	35762
641	279849	35308
642	280130	34852
643	280377	34394
644	280617	33935
645	280833	33473
646	281042	33012
647	281275	32555
648	281429	32089
649	281577	31623
650	281722	31158
651	281875	30694
652	282026	30232
653	282163	29769
654	282309	29308
655	282454	28848
656	282596	28388
657	282752	27931
658	282906	27474
659	283050	27018
660	283193	26562
661	283340	26108
662	283485	25654
663	283625	25201
664	283775	24750
665	283915	24299
666	284059	23849
667	284210	23400
668	284355	22952
669	284498	22505
670	284646	22059
671	284783	21613
672	284930	21168
673	285071	20724
674	285211	20281
675	285360	19840
676	285498	19398
677	285643	18958
678	285788	18519
679	285928	18080
680	286067	17642
681	286220	17206
682	286356	16770
683	286505	16335
684	286648	15901
685	286777	15467
686	286918	15035
687	287041	14602
688	287172	14171
689	287300	13740
690	287434	13310
691	287559	12881
692	287693	12454
693	287814	12026
694	287908	11599
695	287999	11172
696	288088	10746
697	288178	10321
698	288267	9897
699	288364	9474
700	288462	9053
701	288552	8631
702	288641	8211
703	288734	7792
704	288824	7374
705	288916	6956
706	289008	6540
707	289100	6125
708	289195	5710
709	289285	5296
710	289380	4884
711	289473	4472
712	289561	4061
713	289654	3651
714	289748	3241
715	289836	2833
716	289932	2426
717	290025	2019
718	290117	1614
719	290206	1209
720	290298	805
721	290390	402
722	290487	0
